"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","FGM","FGA","3PTM","FTM","FTA","PTS","OREB","DREB","AST","ST","BLK","TO"
"Justin Hamilton","(N/A)","PF,C,Flx","982","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A.J. Hammons","MIA","C,Flx","983","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Hansbrough","(N/A)","PF,C,Flx","984","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anfernee Hardaway","MIA","PG,SG,SF,PF,Flx","985","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Demonte Harper","(N/A)","PG,SG,Flx","986","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elias Harris","LAL","SF,PF,Flx","987","FA","SA Tue 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Harrison","(N/A)","PG,Flx","988","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Hart","MIN","PG,Flx","989","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Spencer Hawes","(N/A)","PF,C,Flx","990","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nigel Hayes","SAC","PF,Flx","991","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luther Head","SAC","PG,SG,Flx","992","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reggie Hearn","(N/A)","SG,Flx","993","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gerald Henderson","PHI","SG,SF,Flx","994","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Myke Henry","(N/A)","SF,Flx","995","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Hicks","(N/A)","PF,Flx","996","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Haywood Highsmith","(N/A)","SG,Flx","997","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ahmed Hill","(N/A)","SG,Flx","998","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Hill","(N/A)","PF,C,Flx","999","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amir Hinton","(N/A)","PG,Flx","1000","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Holland","CLE","SG,Flx","1001","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aric Holman","(N/A)","PF,Flx","1002","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Holmes","(N/A)","PF,Flx","1003","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daulton Hommes","(N/A)","SF,Flx","1004","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Honeycutt","HOU","SF,Flx","1005","FA","CHA Tue 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scotty Hopson","OKC","SG,Flx","1006","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Richard Howell","(N/A)","PF,Flx","1007","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaac Humphries","(N/A)","PF,Flx","1008","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kris Humphries","(N/A)","PF,C,Flx","1009","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"R.J. Hunter","(N/A)","SG,Flx","1010","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mile Ilic","NO","C,Flx","1011","FA","MIL Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Damien Inglis","NY","SF,Flx","1012","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ike Iroegbu","(N/A)","SG,Flx","1013","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarrett Jack","NO","PG,SG,Flx","1014","FA","MIL Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Jackson","(N/A)","PG,Flx","1015","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Damion James","WAS","SF,Flx","1016","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominic James","(N/A)","PG,SG,Flx","1017","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Al Jefferson","(N/A)","PF,C,Flx","1018","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Richard Jefferson","(N/A)","SG,SF,Flx","1019","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Jenkins","(N/A)","SG,SF,Flx","1020","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Jennings","MIL","PG,Flx","1021","FA","@NO Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yi Jianlian","(N/A)","PF,C,Flx","1022","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DerMarr Johnson","(N/A)","SG,SF,Flx","1023","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaylen Johnson","CHI","SF,Flx","1024","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Johnson","SA","SG,Flx","1025","FA","@LAL Tue 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darius Johnson-Odom","MIN","SG,Flx","1026","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominique Jones","DAL","PG,SG,Flx","1027","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perry Jones","(N/A)","SF,PF,Flx","1028","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Terrence Jones","HOU","SF,PF,Flx","1029","FA","CHA Tue 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Myck Kabongo","SA","PG,Flx","1030","FA","@LAL Tue 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nikola Kalinic","(N/A)","SF,Flx","1031","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Kaman","(N/A)","PF,C,Flx","1032","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Kapono","GS","SG,SF,Flx","1033","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tre Kelley","(N/A)","PG,Flx","1034","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D.J. Kennedy","(N/A)","SG,SF,Flx","1035","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sean Kilpatrick","(N/A)","PG,SG,Flx","1036","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrei Kirilenko","PHI","SF,PF,Flx","1037","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Linas Kleiza","TOR","SF,Flx","1038","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adam Koch","(N/A)","SG,SF,Flx","1039","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bronson Koenig","(N/A)","SG,Flx","1040","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yaroslav Korolev","LAC","SF,PF,Flx","1041","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Kramer","(N/A)","PG,Flx","1042","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Viacheslav Kravtsov","PHO","C,Flx","1043","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mindaugas Kuzminskas","NY","SF,PF,Flx","1044","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michale Kyser","(N/A)","PF,Flx","1045","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trevor Lacey","(N/A)","PG,Flx","1046","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nicolas Laprovittola","SA","PG,Flx","1047","FA","@LAL Tue 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Terry Larrier","(N/A)","PF,Flx","1048","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joffrey Lauvergne","(N/A)","PF,C,Flx","1049","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ty Lawson","(N/A)","PG,Flx","1050","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Lee","MIA","C,Flx","1051","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dwight Lewis","(N/A)","SG,Flx","1052","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DeAndre Liggins","MIA","SG,SF,Flx","1053","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shawn Long","(N/A)","PF,C,Flx","1054","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scott Machado","LAL","PG,SG,Flx","1055","FA","SA Tue 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matur Maker","(N/A)","C,Flx","1056","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devyn Marble","(N/A)","SG,SF,Flx","1057","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shawn Marion","(N/A)","SG,SF,Flx","1058","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cartier Martin","(N/A)","SG,SF,Flx","1059","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenyon Martin","MIL","PF,C,Flx","1060","FA","@NO Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Roger Mason Jr.","SAC","SG,Flx","1061","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CJ Massinburg","(N/A)","PG,Flx","1062","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mangok Mathiang","CHA","PF,C,Flx","1063","FA","@HOU Tue 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"O.J. Mayo","(N/A)","PG,SG,Flx","1064","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Michael McAdoo","PHI","PF,Flx","1065","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tahjere McCall","(N/A)","SG,Flx","1066","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Erik McCree","UTA","SF,Flx","1067","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris McCullough","DET","PF,Flx","1068","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K.J. McDaniels","(N/A)","SF,Flx","1069","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"William McDowell-White","(N/A)","SG,Flx","1070","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mitch McGary","(N/A)","PF,C,Flx","1071","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh McRoberts","DAL","PF,C,Flx","1072","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jodie Meeks","(N/A)","SG,Flx","1073","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fab Melo","DAL","C,Flx","1074","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Miles","(N/A)","SF,Flx","1075","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darko Milicic","BOS","C,Flx","1076","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Miller","(N/A)","SG,SF,Flx","1077","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elijah Millsap","(N/A)","SG,SF,Flx","1078","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Minnerath","CLE","PF,Flx","1079","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tommy Mitchell","(N/A)","PG,SG,Flx","1080","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Montero","DET","SF,Flx","1081","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Moore","(N/A)","SF,Flx","1082","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Doral Moore","(N/A)","C,Flx","1083","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Moreland","(N/A)","PF,Flx","1084","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy Morgan","MEM","SG,Flx","1085","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darius Morris","NO","PG,SG,Flx","1086","FA","MIL Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaylen Morris","MIL","SG,Flx","1087","FA","@NO Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brock Motum","(N/A)","PF,Flx","1088","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Timofey Mozgov","(N/A)","C,Flx","1089","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shabazz Muhammad","MIL","SG,SF,Flx","1090","FA","@NO Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mychal Mulder","(N/A)","PG,Flx","1091","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Byron Mullens","(N/A)","PF,C,Flx","1092","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Murphy","(N/A)","SG,Flx","1093","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hamady Ndiaye","(N/A)","C,Flx","1094","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gary Neal","(N/A)","PG,SG,Flx","1095","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jameer Nelson","(N/A)","PG,Flx","1096","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Spencer Nelson","(N/A)","SF,PF,Flx","1097","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luke Nevill","IND","C,Flx","1098","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Landry Nnoko","(N/A)","C,Flx","1099","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andres Nocioni","PHI","SF,PF,Flx","1100","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lucas Nogueira","(N/A)","PF,C,Flx","1101","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Steve Novak","MIL","SF,PF,Flx","1102","FA","@NO Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Nunnally","HOU","SF,Flx","1103","FA","CHA Tue 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"JJ O'Brien","(N/A)","SF,Flx","1104","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Johnny O'Bryant III","NY","PF,Flx","1105","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lukasz Obrzut","IND","C,Flx","1106","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Ochefu","BOS","C,Flx","1107","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greg Oden","(N/A)","C,Flx","1108","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Norense Odiase","(N/A)","C,Flx","1109","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lamar Odom","NY","SF,PF,Flx","1110","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Emeka Okafor","PHI","C,Flx","1111","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mehmet Okur","POR","C,Flx","1112","FA","@DEN Tue 9:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuni Omot","(N/A)","SF,Flx","1113","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Arinze Onuaku","ORL","PF,Flx","1114","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Romero Osby","ORL","SF,PF,Flx","1115","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yakuba Ouattara","BKN","SG,Flx","1116","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bo Outlaw","ORL","PF,Flx","1117","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Travis Outlaw","(N/A)","SF,PF,Flx","1118","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Paige","(N/A)","PG,Flx","1119","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Palmer Jr.","(N/A)","SG,Flx","1120","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Palmer","WAS","SG,SF,Flx","1121","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bubu Palo","(N/A)","PG,Flx","1122","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Georgios Papagiannis","POR","C,Flx","1123","FA","@DEN Tue 9:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kostas Papanikolaou","DEN","SF,PF,Flx","1124","FA","POR Tue 9:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L.J. Peak","BOS","SG,Flx","1125","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nikola Pekovic","MIN","C,Flx","1126","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kleon Penn","(N/A)","C,Flx","1127","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Perkins","(N/A)","PG,Flx","1128","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"London Perrantes","(N/A)","PG,Flx","1129","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lamar Peters","(N/A)","PG,Flx","1130","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tarik Phillip","(N/A)","PG,Flx","1131","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mickael Pietrus","(N/A)","SG,SF,Flx","1132","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kavion Pippen","(N/A)","C,Flx","1133","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marshall Plumlee","(N/A)","C,Flx","1134","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Posey","IND","SG,SF,Flx","1135","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A.J. Price","PHO","PG,Flx","1136","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pablo Prigioni","(N/A)","PG,SG,Flx","1137","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tim Quarterman","HOU","PG,Flx","1138","FA","CHA Tue 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Quinn","CLE","PG,SG,Flx","1139","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Miroslav Raduljica","MIN","C,Flx","1140","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chasson Randle","(N/A)","PG,Flx","1141","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shavlik Randolph","DEN","PF,Flx","1142","FA","POR Tue 9:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darius Rice","CLE","SF,PF,Flx","1143","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Richardson","NO","SF,PF,Flx","1144","FA","MIL Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lawrence Roberts","(N/A)","SF,PF,Flx","1145","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Frank Robinson","(N/A)","PG,SG,Flx","1146","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nate Robinson","NO","PG,SG,Flx","1147","FA","MIL Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thomas Robinson","(N/A)","PF,C,Flx","1148","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leon Rodgers","(N/A)","SF,PF,Flx","1149","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Magnum Rolle","(N/A)","PF,C,Flx","1150","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Rush","POR","SG,SF,Flx","1151","FA","@DEN Tue 9:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Orlando Sanchez","(N/A)","PF,Flx","1152","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Larry Sanders","CLE","PF,C,Flx","1153","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Scott","(N/A)","PG,Flx","1154","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shannon Scott","BKN","SG,Flx","1155","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tornike Shengelia","CHI","SF,PF,Flx","1156","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Sibert","(N/A)","SG,Flx","1157","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Xavier Silas","(N/A)","SG,Flx","1158","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DeShawn Sims","BOS","SF,Flx","1159","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Singler","(N/A)","SG,SF,Flx","1160","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Singleton","(N/A)","PF,Flx","1161","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Smith","NO","SF,PF,Flx","1162","FA","MIL Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scoochie Smith","CLE","SG,Flx","1163","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Richard Solomon","OKC","PF,Flx","1164","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Southerland","(N/A)","SF,Flx","1165","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marreese Speights","(N/A)","PF,C,Flx","1166","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Stark","(N/A)","PG,Flx","1167","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D.J. Stephens","MEM","SF,Flx","1168","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elijah Stewart","IND","SG,Flx","1169","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Stockton","(N/A)","PG,Flx","1170","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarnell Stokes","MEM","PF,Flx","1171","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Diamond Stone","(N/A)","C,Flx","1172","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Julyan Stone","(N/A)","SG,SF,Flx","1173","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rodney Stuckey","IND","PG,SG,Flx","1174","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rasheed Sulaimon","(N/A)","SG,Flx","1175","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jared Sullinger","PHO","PF,C,Flx","1176","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bob Sura","HOU","PG,SG,Flx","1177","FA","CHA Tue 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BJ Taylor","(N/A)","PG,Flx","1178","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Donell Taylor","(N/A)","PG,SG,Flx","1179","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jermaine Taylor","(N/A)","SG,Flx","1180","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marquis Teague","MEM","PG,Flx","1181","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mirza Teletovic","MIL","SF,PF,Flx","1182","FA","@NO Tue 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jared Terrell","(N/A)","PG,Flx","1183","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Terry","(N/A)","PG,SG,Flx","1184","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
